-32.8000679016, 144.500259399, -134.997814389
-36.40001297, 144.500259399, -134.997814389
-40.2999420166, 144.500259399, -134.997814389
-44.1998291016, 144.700271606, -134.997814389
-48.0996704102, 144.400253296, -134.997814389
-51.6995239258, 144.400253296, -134.997814389
-55.0993881226, 144.400253296, -134.997814389
-58.6992378235, 144.400253296, -134.997814389
-62.3990745544, 144.400253296, -134.997814389
-65.7989883423, 144.400253296, -134.997814389
-174.697998047, 112.200141907, -25.0142454391
-174.49798584, 114.799949646, -25.0142454391
-174.49798584, 117.599761963, -25.0142454391
-174.49798584, 120.499557495, -25.0142454391
-174.49798584, 122.99937439, -25.0142454391
-174.49798584, 125.699180603, -25.0142454391
-174.49798584, 128.699081421, -25.0142454391
