33.7999153137, -30.2999210358
29.5999107361, -30.2999210358
20.8999099731, -38.0998916626
20.8999099731, -43.1998519897
40.6998138428, -42.2998542786
40.6998138428, -38.3998565674
101.599517822, 42.0000228882
97.9994277954, 42.0000228882
91.0992431641, 46.7999687195
91.0992355347, 50.3999252319
97.6992340088, 58.7998275757
101.599235535, 58.7998275757
41.5985641479, 92.099899292
41.5985641479, 87.8997802734
34.9985618591, 79.4996337891
31.0985641479, 79.4996337891
25.0985641479, 87.2996368408
25.0985641479, 91.7995910645
-76.6012115479, 58.7991142273
-82.0012283325, 59.3991088867
-68.8010635376, 52.1991043091
-68.8010635376, 47.099105835
-78.1011047363, 42.2991065979
-82.6011276245, 42.2991065979
34.6990394592, 38.9990158081
30.1990375519, 38.9990158081
23.299036026, 46.7989387512
23.299036026, 51.5988769531
29.5989952087, 57.2988166809
34.9989700317, 57.2988166809
42.7989387512, 51.8988113403
42.7989387512, 46.7988128662
